start_time;wind_production;nuclear_production;hydro_production;total_production;surplus_deficit;reserve_small_scale_production
2025-07-24 06:00:00+00:00;51.2509;4049.5550000000003;1524.03;7250.004999999999;40.859750000000005;18.4
2025-07-24 07:00:00+00:00;64.023;4049.28;1495.045;7292.635;81.935;28.874950000000002
2025-07-24 08:00:00+00:00;112.72515000000001;4049.9799999999996;1315.8;7231.030000000001;-34.30304999999999;16.9
2025-07-24 09:00:00+00:00;143.02249999999998;4052.4849999999997;1304.01;7340.205;-89.4965;16.0
2025-07-24 10:00:00+00:00;293.7185;4052.19;1127.4850000000001;7316.05;-105.9405;16.0
2025-07-24 11:00:00+00:00;467.27650000000006;4050.465;1128.9599999999998;7452.775;-60.828999999999986;16.0
2025-07-24 12:00:00+00:00;579.126;4046.995;1110.255;7472.2300000000005;12.856850000000012;16.2
2025-07-24 13:00:00+00:00;689.5685;4046.65;1007.8639999999999;7388.329999999999;7.67663500000001;18.0
2025-07-24 14:00:00+00:00;742.7090000000001;4048.6200000000003;1366.875;7647.875;65.59700000000001;18.0
2025-07-24 15:00:00+00:00;757.9449999999999;4049.5049999999997;1445.725;7599.040000000001;-44.52189999999999;18.0499
2025-07-24 16:00:00+00:00;655.7805000000001;4051.005;1342.615;7241.5;-421.77;18.0
2025-07-24 17:00:00+00:00;585.9465;4047.915;1570.6150000000002;7289.094999999999;-118.28349999999998;18.899849999999997
2025-07-24 18:00:00+00:00;726.76;4047.45;1332.32;7134.445;452.7415;29.34915
2025-07-24 19:00:00+00:00;841.8264999999999;4048.315;1317.315;7213.05;611.0925;23.3
2025-07-24 20:00:00+00:00;808.771;4047.9049999999997;945.0305000000001;6701.8550000000005;-104.00252999999998;25.44985
2025-07-24 21:00:00+00:00;927.6675000000001;4047.5800000000004;634.576;6491.725;-379.65;28.1247
2025-07-24 22:00:00+00:00;1256.4450000000002;3954.8949999999995;666.998;6740.12;103.84850000000003;32.2499
2025-07-24 23:00:00+00:00;1498.675;3941.7100000000005;493.43649999999997;6792.545;-5.548399999999978;33.8
2025-07-25 00:00:00+00:00;1722.065;3941.7349999999997;468.48949999999996;6992.709999999999;-73.25284999999997;35.0
2025-07-25 01:00:00+00:00;1736.475;3939.1549999999997;486.83299999999997;7022.125;-95.64599999999997;35.4
2025-07-25 02:00:00+00:00;1811.7899999999997;3940.25;479.008;7145.960000000001;85.936;35.1
2025-07-25 03:00:00+00:00;1870.525;3939.7050000000004;535.2575;7365.339999999999;351.25100000000003;26.075200000000002
2025-07-25 04:00:00+00:00;1497.76;3939.025;618.4205;7215.455;321.87;22.2
2025-07-25 05:00:00+00:00;853.4455;3939.315;888.4904999999999;7044.8550000000005;125.57650000000001;20.7501
2025-07-25 06:00:00+00:00;579.2180000000001;3939.9549999999995;1224.4050000000002;7277.17;178.58200000000002;17.65005
2025-07-25 07:00:00+00:00;705.601;3938.0950000000003;1153.0700000000002;7477.710000000001;77.66100000000003;17.0
2025-07-25 08:00:00+00:00;882.7080000000002;3939.2049999999995;1025.6124999999997;7627.8;12.123900000000024;16.2
2025-07-25 09:00:00+00:00;1259.11;3940.3900000000003;919.5815;7940.469999999999;-25.868599999999976;15.0
2025-07-25 10:00:00+00:00;1492.9150000000002;3940.125;821.8465;8083.12;-45.762799999999984;15.0
2025-07-25 11:00:00+00:00;1652.395;3941.04;706.3965000000001;8138.18;-87.41799999999998;15.0
2025-07-25 12:00:00+00:00;1827.4900000000002;3939.6449999999995;676.228;8259.73;-189.00949999999997;17.0
2025-07-25 13:00:00+00:00;1877.325;3938.5150000000003;660.158;8222.105;-86.02269399999997;17.0
2025-07-25 14:00:00+00:00;2106.095;3938.05;670.3770000000001;8353.85;263.15;17.0
2025-07-25 15:00:00+00:00;1772.2100000000003;3936.475;752.74;7947.344999999999;110.10750000000003;17.0
2025-07-25 16:00:00+00:00;1354.91;3935.56;863.7575;7496.870000000001;-71.67054999999998;18.04985
2025-07-25 17:00:00+00:00;1343.605;3933.3050000000003;988.314;7479.6799999999985;27.888300000000022;19.0
2025-07-25 18:00:00+00:00;1588.2;3935.125;776.734;7410.025;-76.37244999999999;21.0
2025-07-25 19:00:00+00:00;2177.175;3936.375;672.201;7843.495000000001;33.70250000000003;22.99975
2025-07-25 20:00:00+00:00;2722.0150000000003;3935.775;592.761;8301.09;288.78499999999997;25.0
